,StationName,Latitude,Longitude,2018-05-05 00:00:00,2018-05-05 04:00:00,2018-05-05 08:00:00,2018-05-05 12:00:00,2018-05-05 16:00:00,2018-05-05 20:00:00,2018-05-06 00:00:00,2018-05-06 04:00:00,2018-05-06 08:00:00,2018-05-06 12:00:00,2018-05-06 16:00:00,2018-05-06 20:00:00,2018-05-07 00:00:00,2018-05-07 04:00:00,2018-05-07 08:00:00,2018-05-07 12:00:00,2018-05-07 16:00:00,2018-05-07 20:00:00,2018-05-08 00:00:00,2018-05-08 04:00:00,2018-05-08 08:00:00,2018-05-08 12:00:00,2018-05-08 16:00:00,2018-05-08 20:00:00,2018-05-09 00:00:00,2018-05-09 04:00:00,2018-05-09 08:00:00,2018-05-09 12:00:00,2018-05-09 16:00:00,2018-05-09 20:00:00,2018-05-10 00:00:00,2018-05-10 04:00:00,2018-05-10 08:00:00,2018-05-10 12:00:00,2018-05-10 16:00:00,2018-05-10 20:00:00,2018-05-11 00:00:00,2018-05-11 04:00:00,2018-05-11 08:00:00,2018-05-11 12:00:00,2018-05-11 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,5767.0,5694.0,25951.0,40775.0,45120.0,24865.0,5201.0,3992.0,19640.0,32735.0,35871.0,16647.0,2063.0,16746.0,61164.0,44103.0,85991.0,25399.0,2490.0,18012.0,63370.0,45440.0,88741.0,29343.0,3047.0,17996.0,62213.0,47120.0,89639.0,31133.0,3207.0,17740.0,62423.0,48197.0,88780.0,30883.0,4575.0,17043.0,59114.0,51903.0,88854.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,8078.0,4970.0,18794.0,29648.0,37407.0,28532.0,7386.0,3392.0,14477.0,25198.0,28355.0,18017.0,3155.0,13729.0,48666.0,32670.0,64415.0,23314.0,3626.0,14616.0,51196.0,34659.0,68367.0,28664.0,4208.0,14269.0,51585.0,37735.0,70202.0,29012.0,4469.0,14874.0,50841.0,36357.0,68977.0,29594.0,4761.0,13461.0,47613.0,40153.0,66859.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,3976.0,5978.0,21639.0,30810.0,32421.0,18371.0,3479.0,3853.0,17640.0,24454.0,29017.0,13583.0,1922.0,25598.0,59545.0,37613.0,76772.0,19140.0,2039.0,25822.0,60659.0,38443.0,78738.0,21209.0,2221.0,25674.0,59936.0,39693.0,80070.0,23406.0,2554.0,25937.0,59604.0,41476.0,79246.0,24409.0,2929.0,23494.0,53184.0,45057.0,75430.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2877.0,3440.0,16522.0,27896.0,29013.0,14740.0,3133.0,2413.0,13191.0,21224.0,20560.0,8911.0,1300.0,11203.0,34468.0,31174.0,46639.0,16319.0,1689.0,11707.0,35457.0,32471.0,49331.0,19137.0,1899.0,11574.0,35180.0,33486.0,49642.0,18811.0,2041.0,11397.0,35951.0,33036.0,48225.0,18594.0,2520.0,10700.0,32710.0,34245.0,44738.0
4,86 ST,40.7795016,-73.95557240000001,1601.0,3592.0,14099.0,19682.0,20407.0,9010.0,1523.0,2456.0,10668.0,15835.0,14830.0,5553.0,776.0,13602.0,30211.0,25389.0,39246.0,11190.0,1038.0,14472.0,30487.0,26143.0,40512.0,12436.0,1036.0,14219.0,32146.0,27295.0,39982.0,12136.0,884.0,13555.0,32203.0,27858.0,39559.0,12074.0,1223.0,13065.0,31083.0,29420.0,37872.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2748.0,3491.0,14768.0,20332.0,21085.0,11899.0,2760.0,2198.0,11496.0,15371.0,16371.0,7051.0,1063.0,15433.0,42385.0,24796.0,48395.0,11746.0,1613.0,16558.0,42834.0,26587.0,50827.0,13548.0,1747.0,16195.0,43026.0,27252.0,51264.0,14205.0,1894.0,15779.0,43300.0,28256.0,51664.0,14728.0,2310.0,14258.0,39286.0,29384.0,48051.0
6,59 ST,40.6415685,-74.0176783,2289.0,4302.0,14119.0,20002.0,19336.0,8996.0,1962.0,2803.0,10371.0,15270.0,14596.0,6073.0,1059.0,13080.0,32780.0,24993.0,41381.0,11385.0,1328.0,15129.0,34553.0,13370.0,21236.0,12811.0,1593.0,14695.0,34336.0,27229.0,44329.0,12979.0,1516.0,14107.0,34332.0,27522.0,43500.0,12886.0,1737.0,13595.0,32913.0,29130.0,41243.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2470.0,6481.0,16885.0,18581.0,19718.0,12428.0,2293.0,3849.0,12918.0,14904.0,15310.0,8932.0,1376.0,17552.0,24978.0,18902.0,29630.0,13458.0,1620.0,17885.0,25003.0,19099.0,31525.0,13703.0,1668.0,18085.0,25012.0,18945.0,31343.0,13875.0,1844.0,17946.0,24901.0,17310.0,30226.0,13723.0,1880.0,17491.0,24206.0,19762.0,30894.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2209.0,2191.0,8972.0,15399.0,16065.0,8803.0,2285.0,1633.0,6963.0,12546.0,12277.0,5390.0,891.0,9275.0,20458.0,16362.0,27453.0,8053.0,990.0,9466.0,20769.0,16373.0,28192.0,9054.0,1144.0,9371.0,21078.0,17480.0,27975.0,9435.0,1287.0,9217.0,20605.0,16747.0,28103.0,9397.0,1436.0,8529.0,19717.0,19003.0,31328.0
9,23 ST,40.7413626,-73.9891335,2196.0,2147.0,11342.0,18234.0,19575.0,10222.0,2507.0,1487.0,8044.0,13705.0,13767.0,6591.0,776.0,7801.0,34958.0,26016.0,48164.0,14070.0,1058.0,8678.0,36314.0,26567.0,50774.0,15743.0,1022.0,8752.0,36459.0,28418.0,50242.0,15996.0,1110.0,8628.0,36338.0,28418.0,49282.0,16474.0,1220.0,8020.0,33704.0,29268.0,46781.0
