,StationName,Latitude,Longitude,2018-12-29 03:00:00,2018-12-29 07:00:00,2018-12-29 11:00:00,2018-12-29 15:00:00,2018-12-29 19:00:00,2018-12-29 23:00:00,2018-12-30 03:00:00,2018-12-30 07:00:00,2018-12-30 11:00:00,2018-12-30 15:00:00,2018-12-30 19:00:00,2018-12-30 23:00:00,2018-12-31 03:00:00,2018-12-31 07:00:00,2018-12-31 11:00:00,2018-12-31 15:00:00,2018-12-31 19:00:00,2018-12-31 23:00:00,2019-01-01 03:00:00,2019-01-01 07:00:00,2019-01-01 11:00:00,2019-01-01 15:00:00,2019-01-01 19:00:00,2019-01-01 23:00:00,2019-01-02 03:00:00,2019-01-02 07:00:00,2019-01-02 11:00:00,2019-01-02 15:00:00,2019-01-02 19:00:00,2019-01-02 23:00:00,2019-01-03 03:00:00,2019-01-03 07:00:00,2019-01-03 11:00:00,2019-01-03 15:00:00,2019-01-03 19:00:00,2019-01-03 23:00:00,2019-01-04 03:00:00,2019-01-04 07:00:00,2019-01-04 11:00:00,2019-01-04 15:00:00,2019-01-04 19:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,3455.0,19736.0,42941.0,38460.0,24356.0,11719.0,2785.0,15192.0,35686.0,52748.0,34431.0,8376.0,4835.0,30519.0,47522.0,61262.0,24582.0,12975.0,3653.0,9077.0,25510.0,35822.0,21330.0,3987.0,6725.0,57266.0,40112.0,86355.0,35168.0,5444.0,6923.0,60193.0,40282.0,85908.0,35751.0,5619.0,7016.0,57433.0,42325.0,86604.0,38140.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,3161.0,16857.0,38180.0,54784.0,41443.0,14468.0,2593.0,13122.0,31626.0,46106.0,34108.0,10427.0,4384.0,22808.0,28025.0,19520.0,8144.0,10885.0,3873.0,7991.0,21665.0,36894.0,25369.0,6640.0,6073.0,45454.0,31789.0,67112.0,31272.0,7732.0,6131.0,48126.0,31408.0,68447.0,32320.0,6734.0,6009.0,45513.0,31685.0,65099.0,32914.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,3004.0,15652.0,32101.0,40391.0,24517.0,8554.0,2307.0,12845.0,27935.0,35293.0,20763.0,5517.0,6330.0,28487.0,37932.0,49008.0,22211.0,12723.0,3529.0,8864.0,21003.0,27806.0,15419.0,3257.0,9387.0,55633.0,33813.0,67004.0,23765.0,4516.0,11098.0,70165.0,35140.0,83964.0,27298.0,5001.0,10920.0,65857.0,37447.0,81618.0,29513.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,1746.0,11066.0,25813.0,30881.0,15306.0,4533.0,1352.0,8259.0,20419.0,26098.0,12935.0,3250.0,2598.0,14440.0,27093.0,31594.0,16529.0,9927.0,1743.0,5517.0,16455.0,21498.0,8814.0,2102.0,3883.0,27507.0,23345.0,41547.0,16130.0,3390.0,4061.0,28987.0,23425.0,42012.0,17799.0,3335.0,3968.0,28451.0,23963.0,41040.0,17416.0
4,86 ST,40.7795016,-73.95557240000001,1646.0,11120.0,5380.0,7216.0,16712.0,2895.0,1197.0,8416.0,18865.0,21615.0,10339.0,2081.0,2784.0,16829.0,24365.0,26773.0,9935.0,3713.0,1564.0,4869.0,12656.0,15714.0,7213.0,1336.0,4583.0,29311.0,23376.0,38359.0,13540.0,1865.0,4691.0,31629.0,23753.0,40328.0,14849.0,1977.0,4735.0,30747.0,24460.0,40232.0,16050.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,1539.0,11349.0,24440.0,29890.0,15483.0,4320.0,1058.0,8649.0,19941.0,22974.0,12102.0,2522.0,3228.0,19764.0,25949.0,31394.0,13685.0,6852.0,1829.0,5018.0,14351.0,18134.0,8927.0,1699.0,6027.0,42855.0,22190.0,50466.0,15600.0,2627.0,5911.0,46017.0,23607.0,51741.0,16699.0,2601.0,5774.0,42175.0,24324.0,10366.0,2793.0
6,59 ST,40.6415685,-74.0176783,2458.0,11665.0,20596.0,25766.0,13962.0,3782.0,1679.0,8185.0,16064.0,20276.0,10464.0,2766.0,3653.0,18719.0,22522.0,25792.0,8829.0,3741.0,1650.0,5566.0,11316.0,15030.0,7023.0,1813.0,5268.0,32525.0,20558.0,40980.0,13804.0,2672.0,5493.0,34638.0,22132.0,42822.0,14983.0,2859.0,5642.0,33420.0,22582.0,42075.0,14900.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,3029.0,14600.0,18087.0,21368.0,14709.0,4347.0,1976.0,10648.0,15575.0,17754.0,12241.0,3458.0,4736.0,19635.0,17585.0,23425.0,12120.0,4216.0,2142.0,8132.0,13385.0,15830.0,10047.0,2415.0,7735.0,27707.0,16490.0,30027.0,15822.0,2993.0,7810.0,28633.0,16467.0,29869.0,16356.0,3021.0,7689.0,28014.0,16425.0,30826.0,17297.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,1044.0,5733.0,15325.0,20835.0,12513.0,6339.0,964.0,4594.0,12403.0,15992.0,8548.0,1933.0,1369.0,9098.0,15916.0,20736.0,12126.0,8287.0,1560.0,2961.0,8529.0,11623.0,6060.0,1282.0,2689.0,21202.0,13118.0,33455.0,19084.0,2164.0,2910.0,22461.0,13363.0,28683.0,10605.0,1871.0,2532.0,21569.0,15170.0,29516.0,11943.0
9,23 ST,40.7413626,-73.9891335,1087.0,7027.0,16660.0,21254.0,11997.0,3662.0,987.0,5238.0,13572.0,17971.0,9625.0,2499.0,1528.0,11684.0,19501.0,21466.0,9866.0,5179.0,1367.0,3242.0,9499.0,13115.0,6444.0,1433.0,2369.0,26794.0,19322.0,35206.0,13088.0,2081.0,2457.0,29493.0,20716.0,42875.0,17975.0,2171.0,2448.0,28563.0,21191.0,42840.0,17221.0
