,StationName,Latitude,Longitude,2018-05-12 00:00:00,2018-05-12 04:00:00,2018-05-12 08:00:00,2018-05-12 12:00:00,2018-05-12 16:00:00,2018-05-12 20:00:00,2018-05-13 00:00:00,2018-05-13 04:00:00,2018-05-13 08:00:00,2018-05-13 12:00:00,2018-05-13 16:00:00,2018-05-13 20:00:00,2018-05-14 00:00:00,2018-05-14 04:00:00,2018-05-14 08:00:00,2018-05-14 12:00:00,2018-05-14 16:00:00,2018-05-14 20:00:00,2018-05-15 00:00:00,2018-05-15 04:00:00,2018-05-15 08:00:00,2018-05-15 12:00:00,2018-05-15 16:00:00,2018-05-15 20:00:00,2018-05-16 00:00:00,2018-05-16 04:00:00,2018-05-16 08:00:00,2018-05-16 12:00:00,2018-05-16 16:00:00,2018-05-16 20:00:00,2018-05-17 00:00:00,2018-05-17 04:00:00,2018-05-17 08:00:00,2018-05-17 12:00:00,2018-05-17 16:00:00,2018-05-17 20:00:00,2018-05-18 00:00:00,2018-05-18 04:00:00,2018-05-18 08:00:00,2018-05-18 12:00:00,2018-05-18 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,5372.0,5084.0,23037.0,38593.0,44124.0,22607.0,4455.0,3673.0,18459.0,31780.0,32663.0,16778.0,1846.0,17490.0,60556.0,43098.0,83818.0,26138.0,2738.0,18148.0,62036.0,46840.0,89271.0,23775.0,2630.0,17660.0,64985.0,49252.0,89349.0,25365.0,2543.0,16744.0,63507.0,47089.0,87838.0,30140.0,3502.0,16712.0,58184.0,52006.0,86306.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,7653.0,4674.0,18279.0,30111.0,37373.0,23297.0,5798.0,3060.0,13115.0,24761.0,25760.0,15812.0,2765.0,13881.0,48331.0,33174.0,64894.0,25530.0,4393.0,14712.0,50825.0,36356.0,72787.0,25924.0,4345.0,14537.0,50748.0,38392.0,71168.0,28166.0,4465.0,13769.0,51918.0,37881.0,71438.0,33691.0,6074.0,13844.0,47697.0,40282.0,69975.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4129.0,6612.0,22868.0,31925.0,27751.0,14507.0,3339.0,4020.0,18482.0,28290.0,29123.0,16498.0,1869.0,24820.0,59643.0,37393.0,75486.0,18624.0,2344.0,26908.0,58847.0,39172.0,85428.0,18407.0,2106.0,26221.0,59948.0,41881.0,83314.0,20822.0,2267.0,27403.0,62571.0,42373.0,76794.0,18737.0,2468.0,23739.0,54693.0,45866.0,75257.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2884.0,3208.0,15266.0,23673.0,25554.0,12428.0,2657.0,2786.0,12229.0,19613.0,18292.0,8547.0,1226.0,10704.0,34147.0,31702.0,45939.0,17110.0,2276.0,11630.0,35590.0,33568.0,48046.0,15683.0,2091.0,11514.0,35446.0,33023.0,46620.0,16836.0,2191.0,10879.0,33266.0,31388.0,44565.0,18696.0,2658.0,10566.0,31162.0,32208.0,43383.0
4,86 ST,40.7795016,-73.95557240000001,1823.0,3524.0,13953.0,20317.0,20812.0,8529.0,1459.0,2425.0,10447.0,17353.0,14004.0,5758.0,778.0,10348.0,26192.0,25708.0,38108.0,10489.0,825.0,14108.0,31306.0,27585.0,39138.0,9561.0,861.0,13976.0,32097.0,28574.0,39000.0,10687.0,903.0,13699.0,31832.0,27457.0,38587.0,11716.0,1138.0,12993.0,30250.0,28993.0,37871.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,3472.0,3253.0,1801.0,2805.0,18523.0,8187.0,1851.0,1777.0,9961.0,15500.0,15728.0,8404.0,940.0,16043.0,41973.0,25175.0,47749.0,12211.0,1612.0,16242.0,42698.0,26440.0,55953.0,12849.0,2061.0,15452.0,42919.0,30536.0,54115.0,13451.0,2038.0,16311.0,44986.0,820568.0,51076.0,15067.0,2354.0,14636.0,39639.0,30194.0,48981.0
6,59 ST,40.6415685,-74.0176783,2405.0,4336.0,13706.0,19071.0,19536.0,8406.0,1976.0,2864.0,11181.0,15152.0,13823.0,6187.0,1108.0,14247.0,32791.0,24949.0,41030.0,12206.0,1763.0,14295.0,35129.0,27584.0,43080.0,11515.0,1818.0,14374.0,35324.0,27595.0,42578.0,12269.0,1684.0,14160.0,34900.0,26677.0,42055.0,13545.0,2103.0,13736.0,32803.0,28407.0,39989.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2220.0,5949.0,15336.0,15738.0,17183.0,10535.0,1950.0,3526.0,12161.0,13640.0,12606.0,8197.0,1285.0,17278.0,24831.0,19341.0,30786.0,13601.0,1625.0,17635.0,25190.0,20002.0,29875.0,12137.0,2292.0,17764.0,24616.0,19183.0,29516.0,12796.0,1704.0,17013.0,24732.0,19025.0,29971.0,14035.0,1995.0,17026.0,24347.0,19124.0,31153.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2503.0,2063.0,9164.0,16058.0,18779.0,10183.0,2122.0,1592.0,7037.0,13254.0,12400.0,6624.0,875.0,8903.0,20423.0,16532.0,28078.0,8928.0,1181.0,9583.0,22782.0,19461.0,27847.0,7921.0,1108.0,9326.0,20565.0,17201.0,27648.0,8929.0,1205.0,9883.0,21804.0,17735.0,27603.0,10109.0,1442.0,8497.0,19847.0,18981.0,28383.0
9,23 ST,40.7413626,-73.9891335,2405.0,2081.0,10367.0,16722.0,18748.0,8623.0,2017.0,1342.0,7336.0,13563.0,12213.0,6219.0,801.0,7834.0,34241.0,26119.0,47293.0,14619.0,1220.0,8933.0,36577.0,27750.0,52951.0,14601.0,1338.0,8759.0,37097.0,29652.0,52900.0,15912.0,1363.0,8771.0,37165.0,28318.0,41024.0,14554.0,1697.0,7811.0,33532.0,29347.0,46587.0
10,42 ST-PORT AUTH,40.7578346,-73.99146259999998,2110.0,5162.0,15678.0,16400.0,17590.0,10886.0,1726.0,2761.0,11748.0,14896.0,15161.0,11001.0,991.0,19813.0,32134.0,17555.0,34899.0,12045.0,1102.0,18514.0,32564.0,17969.0,43366.0,11325.0,1212.0,19587.0,32576.0,20462.0,42967.0,12660.0,1190.0,20239.0,35217.0,18561.0,35680.0,12779.0,1375.0,18505.0,29003.0,19322.0,35469.0
11,14 ST,40.73747540000001,-73.9970975,2337.0,1147.0,5021.0,8647.0,9642.0,5289.0,1491.0,833.0,3905.0,7491.0,6609.0,3683.0,646.0,4986.0,17602.0,15137.0,25886.0,9346.0,1138.0,5353.0,18852.0,16192.0,26241.0,8951.0,1267.0,5271.0,19165.0,16587.0,27354.0,10221.0,1307.0,5256.0,19481.0,16542.0,27798.0,11584.0,1852.0,5043.0,17617.0,17430.0,26392.0
12,JKSN HT-ROOSVLT,40.746739,-73.89099859999999,3834.0,5948.0,13702.0,16799.0,17411.0,10250.0,3309.0,4102.0,10694.0,13137.0,12941.0,8764.0,2149.0,12472.0,20411.0,17732.0,24821.0,11534.0,2556.0,13367.0,20978.0,17668.0,23512.0,11177.0,2874.0,13188.0,20569.0,16891.0,23383.0,10728.0,2651.0,12603.0,20265.0,16743.0,24389.0,11353.0,2801.0,12893.0,20159.0,17511.0,25196.0
13,BEDFORD AV,40.717354,-73.956972,3982.0,1521.0,8325.0,17598.0,18227.0,10114.0,3171.0,1123.0,6569.0,12470.0,11764.0,6121.0,793.0,4516.0,13829.0,9907.0,19827.0,8881.0,902.0,4774.0,12704.0,8808.0,19597.0,8653.0,1040.0,4856.0,14517.0,10195.0,18728.0,9433.0,1135.0,4365.0,14935.0,11015.0,20204.0,11721.0,2069.0,4409.0,14048.0,12160.0,21517.0
14,47-50 STS ROCK,40.75885,-73.98118610000002,1533.0,1530.0,5127.0,7917.0,9444.0,4227.0,1026.0,955.0,3906.0,251615293.0,334079.0,3356.0,530.0,10052.0,39876.0,19579.0,43142.0,8959.0,1163.0,10547.0,42170.0,22007.0,51949.0,8397.0,1060.0,10602.0,42472.0,24646.0,50132.0,8847.0,1057.0,10618.0,42303.0,23017.0,46106.0,10411.0,1325.0,9561.0,38512.0,25070.0,41873.0
15,34 ST-HUDSON YD,40.7549713,-74.0010084,76.0,16.0,21.0,25.0,16.0,14.0,3.0,7.0,10.0,14.0,15.0,14.0,9.0,3244.0,5516.0,5108.0,6802.0,2011.0,41.0,3255.0,5901.0,5416.0,6999.0,1578.0,204.0,3323.0,5857.0,5476.0,6682.0,1797.0,272.0,,,5436.0,6921.0,1952.0,264.0,3288.0,5900.0,5896.0,6997.0
16,CHAMBERS ST,40.7155134,-74.00922270000001,1630.0,1772.0,8759.0,12023.0,10850.0,4924.0,1023.0,972.0,5629.0,8936.0,7274.0,3634.0,527.0,9835.0,32484.0,27988.0,40714.0,10040.0,822.0,10227.0,33090.0,28918.0,43262.0,9501.0,860.0,10446.0,33126.0,27538.0,41632.0,10097.0,938.0,9507.0,32101.0,27298.0,42944.0,11634.0,1146.0,9300.0,29431.0,28883.0,37113.0
17,125 ST,40.8043863,-73.9374292,2575.0,3135.0,10252.0,14358.0,15188.0,8649.0,2282.0,2210.0,9084.0,12815.0,11479.0,6728.0,1311.0,7648.0,15946.0,14818.0,20381.0,7109.0,736.0,7977.0,16784.0,14791.0,20363.0,5965.0,695.0,7835.0,16587.0,15084.0,20775.0,7188.0,763.0,7528.0,16726.0,14916.0,20965.0,7031.0,838.0,5833.0,16267.0,15529.0,21361.0
18,57 ST-7 AV,40.765564000000005,-73.9803309,1747.0,1668.0,7337.0,11385.0,12690.0,7299.0,1499.0,1258.0,5956.0,9252.0,8913.0,4764.0,572.0,4431.0,15373.0,11397.0,21183.0,7678.0,938.0,4714.0,15964.0,12541.0,22656.0,8178.0,1013.0,4694.0,16202.0,12521.0,22751.0,8635.0,1140.0,4566.0,16343.0,12703.0,21431.0,9929.0,1323.0,4233.0,14942.0,12609.0,20586.0
19,GRAND ST,40.7182003,-73.9935756,2285.0,2355.0,9675.0,12579.0,13923.0,6935.0,1766.0,1506.0,7619.0,10735.0,9889.0,5061.0,772.0,5558.0,15032.0,12756.0,17258.0,5966.0,746.0,5855.0,15017.0,13162.0,17013.0,5632.0,699.0,5705.0,14908.0,12839.0,17216.0,6314.0,704.0,5018.0,14494.0,12208.0,17851.0,6563.0,953.0,5495.0,14532.0,13876.0,19181.0
