,StationName,Latitude,Longitude,2018-04-28 00:00:00,2018-04-28 04:00:00,2018-04-28 08:00:00,2018-04-28 12:00:00,2018-04-28 16:00:00,2018-04-28 20:00:00,2018-04-29 00:00:00,2018-04-29 04:00:00,2018-04-29 08:00:00,2018-04-29 12:00:00,2018-04-29 16:00:00,2018-04-29 20:00:00,2018-04-30 00:00:00,2018-04-30 04:00:00,2018-04-30 08:00:00,2018-04-30 12:00:00,2018-04-30 16:00:00,2018-04-30 20:00:00,2018-05-01 00:00:00,2018-05-01 04:00:00,2018-05-01 08:00:00,2018-05-01 12:00:00,2018-05-01 16:00:00,2018-05-01 20:00:00,2018-05-02 00:00:00,2018-05-02 04:00:00,2018-05-02 08:00:00,2018-05-02 12:00:00,2018-05-02 16:00:00,2018-05-02 20:00:00,2018-05-03 00:00:00,2018-05-03 04:00:00,2018-05-03 08:00:00,2018-05-03 12:00:00,2018-05-03 16:00:00,2018-05-03 20:00:00,2018-05-04 00:00:00,2018-05-04 04:00:00,2018-05-04 08:00:00,2018-05-04 12:00:00,2018-05-04 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,4981.0,5786.0,24462.0,40717.0,21620.0,12913.0,5248.0,3848.0,19120.0,33105.0,37865.0,18176.0,2182.0,17682.0,61839.0,44697.0,87976.0,23452.0,2371.0,17977.0,63494.0,46112.0,86384.0,27877.0,2863.0,18072.0,63465.0,47227.0,87391.0,29236.0,2766.0,17121.0,63714.0,47992.0,88755.0,29356.0,3179.0,16655.0,59459.0,51006.0,87486.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,7886.0,5512.0,20746.0,32011.0,41109.0,27685.0,6446.0,3280.0,15716.0,2203563.0,31070.0,19114.0,3514.0,13687.0,49019.0,33258.0,65459.0,22202.0,3726.0,14459.0,50672.0,35188.0,68790.0,30226.0,5003.0,14618.0,50869.0,38205.0,71248.0,31497.0,5143.0,14233.0,51385.0,36689.0,71256.0,30885.0,5487.0,13244.0,47424.0,38043.0,66789.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4169.0,6479.0,22741.0,31607.0,33826.0,19387.0,4337.0,3956.0,17751.0,25985.0,30071.0,14556.0,2108.0,26143.0,60478.0,37661.0,864814.0,17956.0,2022.0,24610.0,62076.0,38104.0,77476.0,21002.0,2139.0,25708.0,60003.0,40002.0,76618.0,21116.0,2218.0,23927.0,60554.0,40565.0,79652.0,21700.0,2414.0,22626.0,55634.0,43696.0,74253.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,3016.0,3671.0,17816.0,28903.0,30205.0,13672.0,2856.0,2813.0,15399.0,23043.0,22998.0,9034.0,1354.0,10907.0,34167.0,29931.0,43870.0,16542.0,2031.0,11293.0,36295.0,32440.0,48269.0,20133.0,2143.0,11397.0,35701.0,33734.0,48545.0,20310.0,2156.0,10945.0,35875.0,33314.0,49251.0,18661.0,2225.0,10236.0,31733.0,31398.0,42857.0
4,86 ST,40.7795016,-73.95557240000001,1496.0,3467.0,13118.0,18662.0,19445.0,8321.0,1502.0,2096.0,8767.0,14505.0,15797.0,6404.0,778.0,13660.0,31678.0,27046.0,38969.0,10211.0,771.0,14362.0,31853.0,25442.0,39046.0,11375.0,889.0,14094.0,31915.0,26529.0,39038.0,11826.0,905.0,13953.0,32075.0,27187.0,39392.0,11495.0,1112.0,13137.0,30735.0,28667.0,38558.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2760.0,3187.0,12689.0,16864.0,17414.0,8652.0,1925.0,1800.0,9145.0,13397.0,14588.0,6643.0,876.0,16162.0,43094.0,26347.0,52127.0,11562.0,1780.0,16323.0,43394.0,26248.0,48337.0,13531.0,1984.0,16142.0,42818.0,26396.0,50221.0,14093.0,2003.0,15415.0,43810.0,28117.0,51001.0,14302.0,2242.0,14467.0,39667.0,29056.0,48830.0
6,59 ST,40.6415685,-74.0176783,2216.0,4075.0,13165.0,20025.0,19346.0,8770.0,1826.0,2573.0,9880.0,15538.0,15757.0,6912.0,1082.0,13992.0,33357.0,25781.0,42110.0,11506.0,1275.0,11220.0,34658.0,26328.0,42806.0,12665.0,1802.0,14300.0,34986.0,26672.0,41886.0,12837.0,1890.0,14232.0,34740.0,26382.0,43557.0,12429.0,1941.0,13511.0,32825.0,27812.0,40524.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2194.0,6533.0,16346.0,17578.0,18128.0,11966.0,1946.0,3540.0,12368.0,14848.0,14691.0,8471.0,1365.0,17611.0,24204.0,18627.0,28616.0,12996.0,1591.0,17724.0,24435.0,18700.0,30549.0,14068.0,1851.0,17777.0,25317.0,18624.0,31057.0,13955.0,1982.0,17878.0,22717.0,17602.0,30053.0,14015.0,1878.0,16966.0,24475.0,18343.0,29938.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,1852.0,2031.0,9037.0,16359.0,18504.0,9856.0,3075.0,1529.0,7036.0,13503.0,13893.0,5757.0,791.0,9246.0,14877.0,10916.0,26971.0,7628.0,1069.0,9543.0,21010.0,16624.0,28150.0,9126.0,1216.0,9219.0,20435.0,17122.0,27810.0,9439.0,1354.0,9204.0,21328.0,17289.0,28724.0,9715.0,1374.0,8605.0,19639.0,18470.0,27409.0
9,23 ST,40.7413626,-73.9891335,2562.0,2468.0,12851.0,22782.0,24395.0,11169.0,2644.0,1440.0,8904.0,16637.0,16942.0,7182.0,842.0,8487.0,35425.0,26652.0,49443.0,14263.0,1103.0,8854.0,36932.0,27618.0,50599.0,16374.0,1276.0,8840.0,37153.0,28923.0,51074.0,16275.0,1336.0,8467.0,36844.0,26057.0,46874.0,16986.0,1482.0,8046.0,34180.0,29629.0,46841.0
