,StationName,Latitude,Longitude,2018-07-07 00:00:00,2018-07-07 04:00:00,2018-07-07 08:00:00,2018-07-07 12:00:00,2018-07-07 16:00:00,2018-07-07 20:00:00,2018-07-08 00:00:00,2018-07-08 04:00:00,2018-07-08 08:00:00,2018-07-08 12:00:00,2018-07-08 16:00:00,2018-07-08 20:00:00,2018-07-09 00:00:00,2018-07-09 04:00:00,2018-07-09 08:00:00,2018-07-09 12:00:00,2018-07-09 16:00:00,2018-07-09 20:00:00,2018-07-10 00:00:00,2018-07-10 04:00:00,2018-07-10 08:00:00,2018-07-10 12:00:00,2018-07-10 16:00:00,2018-07-10 20:00:00,2018-07-11 00:00:00,2018-07-11 04:00:00,2018-07-11 08:00:00,2018-07-11 12:00:00,2018-07-11 16:00:00,2018-07-11 20:00:00,2018-07-12 00:00:00,2018-07-12 04:00:00,2018-07-12 08:00:00,2018-07-12 12:00:00,2018-07-12 16:00:00,2018-07-12 20:00:00,2018-07-13 00:00:00,2018-07-13 04:00:00,2018-07-13 08:00:00,2018-07-13 12:00:00,2018-07-13 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,4680.0,4864.0,20250.0,30611.0,35588.0,23262.0,4549.0,3429.0,15145.0,24030.0,29514.0,16909.0,2007.0,17173.0,58790.0,41210.0,82195.0,23745.0,2377.0,17765.0,61983.0,42895.0,86103.0,28037.0,2825.0,17823.0,62634.0,44122.0,87600.0,29501.0,2984.0,17026.0,63305.0,44682.0,85264.0,28805.0,3219.0,15794.0,56416.0,52733.0,77330.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,8970.0,5748.0,21279.0,33991.0,42668.0,33874.0,8428.0,3922.0,16577.0,29254.0,35229.0,24573.0,4501.0,13640.0,49693.0,33431.0,66899.0,26932.0,4484.0,14655.0,51934.0,35223.0,71838.0,30335.0,4789.0,14494.0,52550.0,38103.0,73080.0,30800.0,5421.0,13855.0,50812.0,37770.0,72821.0,32732.0,5539.0,13351.0,47675.0,42457.0,64171.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,3808.0,6281.0,22830.0,30942.0,34670.0,21718.0,4156.0,4016.0,18697.0,27861.0,29412.0,16817.0,2270.0,24469.0,60898.0,32533.0,55455.0,16037.0,2189.0,25495.0,60780.0,37551.0,80824.0,22629.0,2471.0,25480.0,63102.0,38110.0,79648.0,24219.0,2774.0,25026.0,62167.0,39921.0,78383.0,22416.0,2667.0,20241.0,56712.0,47917.0,72640.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2690.0,3155.0,12733.0,21150.0,22797.0,12736.0,2548.0,2474.0,10355.0,18892.0,20478.0,9799.0,1289.0,9248.0,29791.0,25313.0,39645.0,13531.0,1746.0,9799.0,31880.0,26268.0,42494.0,15560.0,1812.0,9639.0,32382.0,27455.0,42877.0,16249.0,1994.0,9836.0,32332.0,28618.0,43626.0,17118.0,2083.0,8766.0,28122.0,28583.0,20944.0
4,86 ST,40.7795016,-73.95557240000001,1333.0,3101.0,10560.0,15548.0,15632.0,7655.0,1325.0,2042.0,8042.0,13513.0,12596.0,5734.0,776.0,10664.0,24886.0,20633.0,31716.0,11134.0,1061.0,11284.0,26228.0,20621.0,32075.0,10831.0,1083.0,11096.0,25812.0,21432.0,31744.0,11006.0,1123.0,11153.0,25928.0,21295.0,31227.0,10995.0,1318.0,10149.0,24530.0,24014.0,30230.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2826.0,3170.0,14170.0,20102.0,20039.0,12173.0,2376.0,1936.0,11134.0,17271.0,18562.0,10421.0,1324.0,16355.0,44258.0,25274.0,50504.0,12791.0,1604.0,16060.0,45517.0,25930.0,52774.0,13451.0,1720.0,16393.0,45185.0,27084.0,52971.0,14218.0,1831.0,16159.0,45010.0,28401.0,54036.0,15934.0,2069.0,14309.0,40052.0,31663.0,48122.0
6,59 ST,40.6415685,-74.0176783,2137.0,4171.0,11584.0,16390.0,16767.0,9077.0,1848.0,2663.0,8649.0,13228.0,14003.0,6710.0,1149.0,12300.0,32227.0,23173.0,39472.0,12217.0,1580.0,13170.0,33800.0,24163.0,40456.0,12032.0,1731.0,13104.0,34042.0,25029.0,41214.0,12293.0,1623.0,12669.0,31066.0,23763.0,41187.0,12787.0,1714.0,11890.0,31443.0,26838.0,36267.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2270.0,6218.0,15470.0,16957.0,18678.0,13302.0,2274.0,3558.0,12949.0,15065.0,14963.0,10135.0,1697.0,16224.0,23945.0,17958.0,27779.0,13562.0,1742.0,16574.0,24151.0,17429.0,29028.0,13415.0,2017.0,16383.0,24861.0,17778.0,29080.0,13957.0,1918.0,16200.0,24468.0,17997.0,29281.0,14366.0,2031.0,15476.0,23018.0,18262.0,27863.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,1782.0,2114.0,7685.0,12719.0,7809.0,4955.0,1755.0,1525.0,6123.0,11729.0,12321.0,7287.0,879.0,8375.0,19769.0,14717.0,25858.0,7966.0,935.0,7946.0,20502.0,14342.0,26257.0,8947.0,1020.0,8098.0,20187.0,15243.0,29224.0,12760.0,1263.0,8077.0,20137.0,15086.0,26451.0,9305.0,1253.0,7224.0,18530.0,18877.0,30754.0
9,23 ST,40.7413626,-73.9891335,1684.0,1589.0,7278.0,12686.0,13394.0,7666.0,1578.0,1079.0,5465.0,10440.0,10617.0,5642.0,740.0,7425.0,32481.0,22819.0,44744.0,12413.0,1148.0,8150.0,35683.0,24345.0,47269.0,14668.0,1302.0,8243.0,36293.0,25065.0,47658.0,15871.0,1455.0,7745.0,36143.0,25643.0,48472.0,16732.0,1714.0,7411.0,31833.0,27885.0,31285.0
