,23,24,25,26,27,28,29
21 ST-QNSBRIDGE,4072.0,3074.0,4962.0,4915.0,4889.0,5281.0,4957.0
HOYT-SCHER,4069.0,3321.0,6691.0,6822.0,6641.0,6548.0,6629.0
FRANKLIN AV,3951.0,3250.0,6283.0,6225.0,6174.0,6274.0,5740.0
168 ST,3842.0,3309.0,9658.0,10441.0,9740.0,10270.0,9339.0
NEVINS ST,3772.0,2558.0,6316.0,6615.0,6585.0,6703.0,6380.0
5 AVE,3618.0,2693.0,9168.0,9435.0,9628.0,9387.0,8521.0
PROSPECT PARK,3506.0,3252.0,5651.0,5701.0,5925.0,5753.0,5582.0
CENTRAL PK N110,3467.0,2956.0,,5642.0,5356.0,5443.0,5118.0
LEXINGTON AV/53,3432.0,2384.0,30870.0,31892.0,31974.0,31457.0,29635.0
63 DR-REGO PARK,3413.0,3024.0,5314.0,5541.0,5559.0,5612.0,5276.0
3 AV,3357.0,2534.0,3875.0,4913.0,2827.0,4321.0,2630.0
175 ST,3345.0,2647.0,5515.0,5710.0,5542.0,5877.0,5714.0
53 ST,3237.0,2724.0,5516.0,5471.0,5532.0,5712.0,5381.0
110 ST,3222.0,2620.0,5595.0,5632.0,5658.0,5721.0,5635.0
BEDFORD-NOSTRAN,3178.0,2357.0,3462.0,3588.0,3544.0,3622.0,3434.0
GRAHAM AV,3116.0,2494.0,4127.0,4146.0,4490.0,4516.0,4257.0
46 ST BLISS ST,2975.0,2363.0,6027.0,6465.0,5944.0,6229.0,6206.0
CHRISTOPHER ST,2962.0,2360.0,5401.0,5670.0,6276.0,5942.0,6761.0
191 ST,2960.0,2653.0,4642.0,4887.0,4852.0,4814.0,4536.0
ROOSEVELT ISLND,2950.0,2511.0,4095.0,4218.0,4259.0,4135.0,3938.0
BROADWAY JCT,2896.0,2382.0,,4545.0,4159.0,4344.0,4216.0
HOYT ST,2891.0,2123.0,4792.0,4838.0,4868.0,4965.0,4689.0
135 ST,2881.0,2315.0,4992.0,4842.0,4882.0,5290.0,4864.0
ELMHURST AV,2792.0,2233.0,3131.0,3276.0,3295.0,3312.0,3254.0
RECTOR ST,2775.0,2161.0,7715.0,8148.0,8236.0,8290.0,7720.0
4AV-9 ST,2771.0,1898.0,4273.0,4522.0,4536.0,4558.0,4450.0
96 ST,2756.0,2597.0,5627.0,6031.0,6046.0,6002.0,5523.0
