,23,24,25,26,27,28,29
HIGH ST,2867.0,2867.0,2867.0,2867.0,2867.0,2867.0,2867.0
175 ST,2848.0,2848.0,2848.0,2848.0,2848.0,2848.0,2848.0
53 ST,2832.0,2832.0,2832.0,2832.0,2832.0,2832.0,2832.0
111 ST,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0
WALL ST,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0
110 ST,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0
BROOKLYN BRIDGE,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0
8 ST-NYU,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0
49 ST,2625.0,2625.0,2625.0,2625.0,2625.0,2625.0,2625.0
PROSPECT PARK,2598.0,2598.0,2598.0,2598.0,2598.0,2598.0,2598.0
135 ST,2596.0,2596.0,2596.0,2596.0,2596.0,2596.0,2596.0
BROADWAY JCT,2463.0,2463.0,2463.0,2463.0,2463.0,2463.0,2463.0
NEVINS ST,2423.0,2423.0,2423.0,2423.0,2423.0,2423.0,2423.0
BRIGHTON BEACH,2421.0,2421.0,2421.0,2421.0,2421.0,2421.0,2421.0
46 ST BLISS ST,2383.0,2383.0,2383.0,2383.0,2383.0,2383.0,2383.0
BEDFORD-NOSTRAN,2326.0,2326.0,2326.0,2326.0,2326.0,2326.0,2326.0
RECTOR ST,2319.0,2319.0,2319.0,2319.0,2319.0,2319.0,2319.0
HOYT-SCHER,2289.0,2289.0,2289.0,2289.0,2289.0,2289.0,2289.0
CENTRAL PK N110,2272.0,2272.0,2272.0,2272.0,2272.0,2272.0,2272.0
191 ST,2210.0,2210.0,2210.0,2210.0,2210.0,2210.0,2210.0
BURNSIDE AV,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0
EUCLID AV,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0
BLEECKER ST,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0
72 ST,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0
BAY RIDGE AV,1946.0,1946.0,1946.0,1946.0,1946.0,1946.0,1946.0
4AV-9 ST,1939.0,1939.0,1939.0,1939.0,1939.0,1939.0,1939.0
45 ST,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0
ROOSEVELT ISLND,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0
170 ST,1892.0,1892.0,1892.0,1892.0,1892.0,1892.0,1892.0
5 AVE,1775.0,1775.0,1775.0,1775.0,1775.0,1775.0,1775.0
GRAHAM AV,1742.0,1742.0,1742.0,1742.0,1742.0,1742.0,1742.0
67 AV,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0
DYCKMAN ST,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0
CARROLL ST,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0
231 ST,1676.0,1676.0,1676.0,1676.0,1676.0,1676.0,1676.0
PARSONS BLVD,1663.0,1663.0,1663.0,1663.0,1663.0,1663.0,1663.0
40 ST LOWERY ST,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0
MORISN AV/SNDVW,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0
SUTTER AV-RUTLD,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0
169 ST,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0,1572.0
207 ST,1563.0,1563.0,1563.0,1563.0,1563.0,1563.0,1563.0
HOYT ST,1562.0,1562.0,1562.0,1562.0,1562.0,1562.0,1562.0
79 ST,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0
CASTLE HILL AV,1544.0,1544.0,1544.0,1544.0,1544.0,1544.0,1544.0
OZONE PK LEFFRT,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0
BOWERY,1518.0,1518.0,1518.0,1518.0,1518.0,1518.0,1518.0
71 ST,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0
96 ST,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0
UNION ST,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0
CORTELYOU RD,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0
GRANT AV,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0
HALSEY ST,1418.0,1418.0,1418.0,1418.0,1418.0,1418.0,1418.0
MONTROSE AV,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0
18 AV,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0
SMITH-9 ST,1344.0,1344.0,1344.0,1344.0,1344.0,1344.0,1344.0
183 ST,1327.0,1327.0,1327.0,1327.0,1327.0,1327.0,1327.0
V.CORTLANDT PK,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0
74 ST-BROADWAY,1303.0,1303.0,1303.0,1303.0,1303.0,1303.0,1303.0
EASTN PKWY-MUSM,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0
ROCKAWAY AV,1265.0,1265.0,1265.0,1265.0,1265.0,1265.0,1265.0
176 ST,1262.0,1262.0,1262.0,1262.0,1262.0,1262.0,1262.0
PELHAM BAY PARK,1246.0,1246.0,1246.0,1246.0,1246.0,1246.0,1246.0
NEW LOTS AV,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0
STERLING ST,1225.0,1225.0,1225.0,1225.0,1225.0,1225.0,1225.0
BAY RIDGE-95 ST,1222.0,1222.0,1222.0,1222.0,1222.0,1222.0,1222.0
PROSPECT AV,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0
GRAND ARMY PLAZ,1196.0,1196.0,1196.0,1196.0,1196.0,1196.0,1196.0
SARATOGA AV,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0
3 AV,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0
20 AV,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0
AVENUE J,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0
33 ST-RAWSON ST,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0
WESTCHESTER SQ,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
JEFFERSON ST,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
LEXINGTON AV/53,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0
MORGAN AV,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0
CLASSON AV,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0
174-175 STS,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0
CLARK ST,1108.0,1108.0,1108.0,1108.0,1108.0,1108.0,1108.0
182-183 STS,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
BEDFORD PK BLVD,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0
ST LAWRENCE AV,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0
FAR ROCKAWAY,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0
CHRISTOPHER ST,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0
MT EDEN AV,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0
6 AV,1031.0,1031.0,1031.0,1031.0,1031.0,1031.0,1031.0
