,StationName,Latitude,Longitude,2018-05-19 00:00:00,2018-05-19 04:00:00,2018-05-19 08:00:00,2018-05-19 12:00:00,2018-05-19 16:00:00,2018-05-19 20:00:00,2018-05-20 00:00:00,2018-05-20 04:00:00,2018-05-20 08:00:00,2018-05-20 12:00:00,2018-05-20 16:00:00,2018-05-20 20:00:00,2018-05-21 00:00:00,2018-05-21 04:00:00,2018-05-21 08:00:00,2018-05-21 12:00:00,2018-05-21 16:00:00,2018-05-21 20:00:00,2018-05-22 00:00:00,2018-05-22 04:00:00,2018-05-22 08:00:00,2018-05-22 12:00:00,2018-05-22 16:00:00,2018-05-22 20:00:00,2018-05-23 00:00:00,2018-05-23 04:00:00,2018-05-23 08:00:00,2018-05-23 12:00:00,2018-05-23 16:00:00,2018-05-23 20:00:00,2018-05-24 00:00:00,2018-05-24 04:00:00,2018-05-24 08:00:00,2018-05-24 12:00:00,2018-05-24 16:00:00,2018-05-24 20:00:00,2018-05-25 00:00:00,2018-05-25 04:00:00,2018-05-25 08:00:00,2018-05-25 12:00:00,2018-05-25 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,5495.0,5749.0,21452.0,35157.0,36398.0,20393.0,4137.0,3669.0,16671.0,29213.0,32269.0,17987.0,2207.0,17261.0,57406.0,43029.0,81642.0,24099.0,2438.0,17809.0,61421.0,47658.0,86962.0,24401.0,2675.0,8382.0,32297.0,47266.0,88272.0,29958.0,3149.0,17349.0,60922.0,48262.0,87065.0,28854.0,3541.0,15474.0,52948.0,63027.0,71322.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,8814.0,5561.0,21939.0,36675.0,43895.0,30129.0,7276.0,4016.0,18044.0,33419.0,35993.0,23377.0,4554.0,14205.0,46301.0,33111.0,63208.0,25686.0,4564.0,15077.0,49632.0,35651.0,68122.0,27561.0,4602.0,14827.0,51947.0,38258.0,70536.0,31365.0,5411.0,14586.0,49494.0,37208.0,69532.0,33286.0,6316.0,12814.0,42078.0,46197.0,51837.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4526.0,6740.0,21964.0,32140.0,30965.0,17760.0,3850.0,4326.0,16730.0,27573.0,29478.0,13897.0,1966.0,19594.0,56639.0,37913.0,73477.0,18143.0,1898.0,25954.0,60343.0,40757.0,80910.0,18928.0,1933.0,25811.0,60337.0,40997.0,80839.0,23017.0,2290.0,25270.0,58196.0,41663.0,78293.0,22305.0,2348.0,21308.0,48135.0,56305.0,57311.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2954.0,3415.0,14015.0,21962.0,20985.0,11064.0,2477.0,2561.0,12448.0,22376.0,20657.0,9094.0,1360.0,10791.0,31559.0,30250.0,44973.0,16018.0,1971.0,11576.0,33093.0,30411.0,44554.0,16076.0,2082.0,11414.0,34100.0,31639.0,46312.0,16892.0,2578.0,11430.0,33842.0,31910.0,45461.0,17104.0,2434.0,9752.0,28058.0,35116.0,35146.0
4,86 ST,40.7795016,-73.95557240000001,1603.0,3770.0,12437.0,18714.0,18024.0,8068.0,1398.0,2217.0,9487.0,15100.0,13535.0,5823.0,822.0,13147.0,29555.0,25309.0,38143.0,10321.0,879.0,14198.0,31951.0,28582.0,38791.0,10145.0,855.0,13784.0,31454.0,27381.0,39450.0,11725.0,1002.0,13921.0,29267.0,26381.0,38121.0,11616.0,1068.0,12432.0,27905.0,30802.0,32777.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2856.0,3437.0,13929.0,21144.0,18819.0,9632.0,2248.0,1942.0,10797.0,15806.0,16026.0,8039.0,1148.0,15724.0,40152.0,24473.0,48349.0,12439.0,1761.0,16435.0,43217.0,28861.0,53928.0,12471.0,1830.0,16335.0,43456.0,28020.0,51770.0,14586.0,2149.0,15525.0,43069.0,28209.0,50428.0,13995.0,2321.0,12692.0,35340.0,36514.0,36734.0
6,59 ST,40.6415685,-74.0176783,2481.0,4221.0,12019.0,17579.0,16871.0,8378.0,1929.0,2839.0,10062.0,15424.0,15120.0,6599.0,1189.0,13860.0,32097.0,25522.0,41090.0,11609.0,1605.0,14616.0,34211.0,26936.0,42347.0,12100.0,1750.0,14443.0,34230.0,26701.0,42986.0,13056.0,1874.0,14183.0,34134.0,27731.0,41897.0,12828.0,2215.0,12915.0,30802.0,31231.0,33301.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2596.0,5931.0,15420.0,15910.0,17532.0,11574.0,2141.0,3689.0,13596.0,15891.0,16394.0,9515.0,1693.0,17184.0,24565.0,20188.0,30770.0,14160.0,1809.0,17961.0,24305.0,19580.0,27973.0,13966.0,1795.0,17697.0,24622.0,20058.0,31083.0,14791.0,1951.0,17729.0,24757.0,17975.0,30966.0,14410.0,2109.0,16726.0,23761.0,20422.0,29088.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2141.0,2583.0,9501.0,14730.0,14451.0,8021.0,1903.0,1483.0,6652.0,13580.0,13303.0,6070.0,890.0,8417.0,20618.0,16417.0,27502.0,8491.0,1019.0,9244.0,20736.0,16672.0,26668.0,8613.0,1094.0,9140.0,20774.0,17309.0,28087.0,10074.0,1319.0,9207.0,20716.0,16973.0,27469.0,10390.0,1497.0,8040.0,18364.0,21649.0,25333.0
9,23 ST,40.7413626,-73.9891335,1978.0,1867.0,9035.0,15252.0,14898.0,7653.0,1707.0,1191.0,6392.0,12884.0,12928.0,6402.0,722.0,8265.0,32350.0,25565.0,46113.0,14172.0,1223.0,8968.0,35136.0,27905.0,49409.0,14757.0,1063.0,8745.0,35573.0,27819.0,49027.0,15314.0,1225.0,8502.0,34138.0,28756.0,48724.0,15842.0,2018.0,7230.0,28031.0,32020.0,35570.0
