,StationName,Latitude,Longitude,2018-08-18 00:00:00,2018-08-18 04:00:00,2018-08-18 08:00:00,2018-08-18 12:00:00,2018-08-18 16:00:00,2018-08-18 20:00:00,2018-08-19 00:00:00,2018-08-19 04:00:00,2018-08-19 08:00:00,2018-08-19 12:00:00,2018-08-19 16:00:00,2018-08-19 20:00:00,2018-08-20 00:00:00,2018-08-20 04:00:00,2018-08-20 08:00:00,2018-08-20 12:00:00,2018-08-20 16:00:00,2018-08-20 20:00:00,2018-08-21 00:00:00,2018-08-21 04:00:00,2018-08-21 08:00:00,2018-08-21 12:00:00,2018-08-21 16:00:00,2018-08-21 20:00:00,2018-08-22 00:00:00,2018-08-22 04:00:00,2018-08-22 08:00:00,2018-08-22 12:00:00,2018-08-22 16:00:00,2018-08-22 20:00:00,2018-08-23 00:00:00,2018-08-23 04:00:00,2018-08-23 08:00:00,2018-08-23 12:00:00,2018-08-23 16:00:00,2018-08-23 20:00:00,2018-08-24 00:00:00,2018-08-24 04:00:00,2018-08-24 08:00:00,2018-08-24 12:00:00,2018-08-24 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,4921.0,4485.0,19436.0,32493.0,37582.0,20044.0,4408.0,3233.0,14686.0,27196.0,32005.0,15557.0,2149.0,16562.0,60017.0,43039.0,81919.0,23389.0,2785.0,17189.0,60722.0,44108.0,84269.0,27337.0,2764.0,17245.0,60930.0,44633.0,85992.0,28509.0,3110.0,17343.0,60401.0,45619.0,85429.0,30121.0,3588.0,15924.0,55705.0,53448.0,76961.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,5942.0,4505.0,18964.0,30677.0,38192.0,27899.0,7042.0,3274.0,14275.0,26991.0,31649.0,20864.0,4003.0,13402.0,46449.0,33221.0,63766.0,24671.0,4679.0,14252.0,47452.0,32617.0,65042.0,29300.0,4078.0,13908.0,49128.0,36404.0,68163.0,29073.0,4932.0,13591.0,48753.0,35412.0,67667.0,30600.0,5206.0,12640.0,43646.0,40714.0,58529.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,3532.0,5866.0,20466.0,28479.0,30463.0,16486.0,3590.0,3856.0,16575.0,26408.0,28890.0,14611.0,2184.0,23692.0,53702.0,35894.0,65482.0,17215.0,2090.0,24544.0,56412.0,33329.0,68980.0,20424.0,2391.0,23622.0,55539.0,37320.0,72680.0,20950.0,2361.0,23646.0,56910.0,38667.0,75032.0,22276.0,2522.0,20821.0,49421.0,46522.0,66519.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2123.0,3022.0,12178.0,19176.0,20735.0,9793.0,2037.0,2558.0,10652.0,16675.0,17111.0,8054.0,1242.0,8627.0,27191.0,23730.0,37007.0,11551.0,1601.0,9053.0,28185.0,25164.0,38754.0,12954.0,1617.0,9067.0,28744.0,25866.0,39339.0,13826.0,1769.0,8817.0,28906.0,26257.0,39605.0,14031.0,1966.0,8225.0,25859.0,28331.0,33692.0
4,86 ST,40.7795016,-73.95557240000001,1333.0,3113.0,11604.0,17452.0,18136.0,7216.0,1250.0,2117.0,9859.0,16194.0,13518.0,5457.0,857.0,9655.0,22702.0,18772.0,28093.0,8166.0,884.0,9835.0,23212.0,19567.0,29163.0,9413.0,843.0,9878.0,23663.0,20313.0,29332.0,9495.0,961.0,9873.0,24283.0,19504.0,28379.0,9110.0,1032.0,9133.0,22200.0,21252.0,26491.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2315.0,3153.0,14275.0,18802.0,19967.0,9909.0,2166.0,1998.0,10756.0,16581.0,17336.0,9197.0,1132.0,14459.0,39528.0,23533.0,45876.0,11273.0,1787.0,14985.0,39281.0,24349.0,46240.0,12043.0,1671.0,14612.0,39390.0,25215.0,46939.0,12895.0,2025.0,14546.0,40047.0,25994.0,47080.0,13367.0,2036.0,12196.0,34946.0,28458.0,40668.0
6,59 ST,40.6415685,-74.0176783,1862.0,4016.0,12960.0,17396.0,17260.0,7826.0,1774.0,2699.0,9399.0,14221.0,13806.0,5441.0,1002.0,11161.0,29229.0,21914.0,35993.0,9696.0,1449.0,11840.0,30104.0,23157.0,37501.0,10624.0,1440.0,11790.0,30594.0,23389.0,38086.0,11004.0,1561.0,11674.0,30853.0,23797.0,37446.0,10787.0,1737.0,10851.0,27369.0,24749.0,32708.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2161.0,6014.0,15156.0,15833.0,17028.0,11270.0,2321.0,3434.0,12075.0,14638.0,14582.0,8859.0,1498.0,14663.0,21984.0,17537.0,27695.0,12277.0,1772.0,15038.0,22532.0,16832.0,28957.0,12918.0,1816.0,14843.0,22588.0,17501.0,27863.0,13386.0,1813.0,14700.0,22971.0,17655.0,27266.0,14078.0,1931.0,14134.0,22449.0,17161.0,27597.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,1650.0,2160.0,8014.0,14200.0,18243.0,14282.0,1990.0,1566.0,6059.0,12835.0,15440.0,9436.0,1168.0,7459.0,17457.0,14526.0,28537.0,10934.0,1070.0,7512.0,17861.0,14023.0,27521.0,11104.0,1018.0,7370.0,17527.0,13764.0,24739.0,8574.0,993.0,7176.0,18571.0,14464.0,25069.0,9016.0,1095.0,6645.0,16620.0,16594.0,26608.0
9,23 ST,40.7413626,-73.9891335,1747.0,1724.0,7913.0,13778.0,14566.0,6878.0,1713.0,1172.0,5624.0,11493.0,12351.0,5756.0,818.0,4611.0,19786.0,15033.0,29409.0,8768.0,1015.0,5050.0,20542.0,16090.0,30544.0,9970.0,911.0,4219.0,20567.0,16256.0,29990.0,10270.0,1003.0,4807.0,20579.0,16942.0,30369.0,10145.0,1064.0,4304.0,18920.0,19226.0,26275.0
10,42 ST-PORT AUTH,40.7578346,-73.99146259999998,2026.0,5049.0,15498.0,16789.0,18061.0,11195.0,1753.0,2872.0,11688.0,13982.0,15774.0,10314.0,1142.0,18686.0,29649.0,17405.0,32849.0,10982.0,1223.0,18688.0,29117.0,17298.0,33624.0,11580.0,1134.0,,,17477.0,33571.0,12170.0,1299.0,17800.0,30415.0,18018.0,33005.0,12348.0,1293.0,16214.0,27117.0,20680.0,31674.0
11,14 ST,40.73747540000001,-73.9970975,1658.0,1270.0,5318.0,9645.0,10379.0,6073.0,1754.0,947.0,3964.0,8543.0,8665.0,4328.0,686.0,4444.0,18874.0,14184.0,26702.0,8206.0,961.0,4819.0,18854.0,15601.0,28340.0,9979.0,1176.0,5003.0,20251.0,15778.0,27743.0,10250.0,1322.0,5009.0,20010.0,16396.0,28086.0,10728.0,1591.0,4586.0,17793.0,17682.0,25488.0
12,JKSN HT-ROOSVLT,40.746739,-73.89099859999999,3268.0,6153.0,13138.0,15830.0,15806.0,10347.0,3182.0,4185.0,10293.0,13371.0,13644.0,8972.0,2081.0,10599.0,18573.0,16912.0,22924.0,10871.0,2511.0,10540.0,18567.0,16165.0,21670.0,10583.0,2333.0,10579.0,18903.0,16517.0,21448.0,11104.0,2420.0,10735.0,18816.0,15977.0,23866.0,11090.0,2539.0,10398.0,18793.0,17915.0,23305.0
13,BEDFORD AV,40.717354,-73.956972,2197.0,1115.0,6841.0,15534.0,14911.0,8258.0,2437.0,875.0,5262.0,10901.0,10848.0,5633.0,905.0,3579.0,12093.0,8400.0,16201.0,6921.0,856.0,3753.0,12519.0,8963.0,16572.0,8040.0,1013.0,3682.0,12715.0,8715.0,16897.0,8560.0,1145.0,3560.0,12696.0,9302.0,17099.0,8876.0,1393.0,3372.0,11752.0,11015.0,17307.0
14,47-50 STS ROCK,40.75885,-73.98118610000002,1469.0,1369.0,4337.0,6759.0,7992.0,3948.0,934.0,848.0,3613.0,5341.0,6123.0,2697.0,549.0,9220.0,36761.0,18397.0,39909.0,8696.0,1796.0,10281.0,37848.0,19194.0,41614.0,9028.0,1415.0,10037.0,38041.0,19823.0,42722.0,9139.0,1495.0,9806.0,36900.0,20102.0,41315.0,9659.0,1543.0,9071.0,28594.0,19696.0,33682.0
15,34 ST-HUDSON YD,40.7549713,-74.0010084,259.0,1065.0,2010.0,2990.0,2672.0,1182.0,253.0,464.0,1367.0,2231.0,2384.0,1078.0,170.0,3319.0,5617.0,5055.0,6074.0,1495.0,211.0,3526.0,5514.0,5082.0,6122.0,1509.0,190.0,3495.0,5423.0,5129.0,6386.0,1739.0,267.0,3511.0,5573.0,5381.0,6193.0,1805.0,255.0,3219.0,4943.0,4178.0,5417.0
16,CHAMBERS ST,40.7155134,-74.00922270000001,1337.0,1957.0,9189.0,11517.0,10698.0,6242.0,1362.0,1242.0,6036.0,10070.0,10290.0,5112.0,777.0,7164.0,26298.0,21879.0,33828.0,6998.0,794.0,7703.0,26558.0,22446.0,35167.0,7761.0,834.0,7823.0,26630.0,22741.0,34473.0,7834.0,857.0,7481.0,26944.0,22859.0,34918.0,8312.0,896.0,6696.0,23791.0,23827.0,29580.0
17,125 ST,40.8043863,-73.9374292,2197.0,2615.0,7913.0,12479.0,13271.0,7764.0,2339.0,2137.0,8294.0,11140.0,11022.0,6210.0,1519.0,6034.0,13437.0,12040.0,17352.0,7323.0,1524.0,6266.0,13999.0,12539.0,17480.0,7685.0,1507.0,6370.0,14276.0,12707.0,17676.0,8754.0,1624.0,6358.0,14348.0,13223.0,18081.0,8879.0,1810.0,6036.0,13782.0,13899.0,18413.0
18,57 ST-7 AV,40.765564000000005,-73.9803309,1300.0,1772.0,6939.0,9813.0,11117.0,6157.0,1292.0,1377.0,5425.0,8198.0,8829.0,4785.0,689.0,4142.0,14958.0,10572.0,20784.0,6580.0,974.0,4526.0,15573.0,10767.0,20003.0,7454.0,931.0,4324.0,15280.0,11535.0,10116.0,3511.0,996.0,4432.0,15148.0,11805.0,21036.0,7787.0,1140.0,4111.0,13820.0,12744.0,18188.0
19,GRAND ST,40.7182003,-73.9935756,305.0,523.0,1140.0,1648.0,1662.0,1043.0,287.0,281.0,842.0,1288.0,1355.0,876.0,178.0,4175.0,13367.0,11725.0,15200.0,4687.0,283.0,4357.0,13030.0,11178.0,15721.0,5042.0,258.0,4292.0,12707.0,11479.0,16013.0,5427.0,297.0,4293.0,12632.0,11259.0,16065.0,5575.0,433.0,4138.0,12574.0,12583.0,16581.0
20,145 ST,40.8240532,-73.94476230000001,2543.0,2889.0,8307.0,9387.0,9775.0,6963.0,2428.0,2307.0,6259.0,8397.0,8425.0,5608.0,1565.0,5924.0,12278.0,9882.0,15263.0,7849.0,1901.0,6116.0,12794.0,10239.0,15442.0,8224.0,1970.0,6140.0,13066.0,10557.0,15557.0,8317.0,2038.0,6362.0,13096.0,10672.0,15523.0,8736.0,2238.0,6012.0,12661.0,11348.0,15309.0
21,42 ST-BRYANT PK,40.75483679999999,-73.9841215,1291.0,991.0,3734.0,5513.0,6949.0,3856.0,1012.0,632.0,2432.0,4164.0,4953.0,2702.0,618.0,5520.0,22268.0,13283.0,29273.0,7569.0,1184.0,5958.0,23047.0,14345.0,30000.0,8114.0,1179.0,5970.0,23038.0,14546.0,30741.0,8545.0,1460.0,6036.0,22502.0,14523.0,30924.0,8542.0,1508.0,5506.0,21024.0,16931.0,24947.0
22,2 AV,40.723412700000004,-73.9902885,1101.0,576.0,1937.0,3395.0,3764.0,2584.0,933.0,475.0,1751.0,2900.0,2837.0,1612.0,337.0,1903.0,5937.0,4581.0,8244.0,4094.0,585.0,2074.0,6293.0,5108.0,9084.0,5145.0,746.0,2085.0,6430.0,5010.0,8725.0,5353.0,809.0,2110.0,6535.0,5152.0,9876.0,5770.0,1049.0,1901.0,6178.0,5723.0,9623.0
23,50 ST,40.7620363,-73.98632909999998,2622.0,2097.0,8368.0,11285.0,13475.0,9477.0,3087.0,1745.0,7679.0,10672.0,11900.0,7196.0,1361.0,6495.0,20580.0,13440.0,26740.0,9473.0,1707.0,6640.0,20584.0,14064.0,27410.0,11346.0,1553.0,6329.0,20985.0,14981.0,27107.0,10430.0,1700.0,6528.0,21081.0,14515.0,27333.0,11348.0,1948.0,5744.0,18688.0,16396.0,24858.0
24,CHURCH AV,40.6495233,-73.96328390000001,1542.0,2665.0,5891.0,6995.0,7259.0,4561.0,1291.0,1876.0,4741.0,6064.0,6012.0,3789.0,977.0,6453.0,10732.0,7874.0,12477.0,5441.0,1195.0,6555.0,10845.0,7759.0,12652.0,5845.0,1150.0,6572.0,10798.0,7835.0,13208.0,5750.0,1263.0,6672.0,11467.0,8227.0,13037.0,6334.0,1340.0,6407.0,10482.0,8902.0,12735.0
25,PRINCE ST,40.7242353,-73.99780600000001,947.0,758.0,5034.0,12014.0,13030.0,4960.0,1116.0,583.0,3732.0,9448.0,9989.0,3386.0,331.0,831.0,5522.0,6422.0,10579.0,2680.0,335.0,964.0,6069.0,7224.0,11202.0,3014.0,342.0,997.0,5985.0,7043.0,10854.0,3192.0,336.0,1017.0,6122.0,7255.0,11381.0,3494.0,446.0,950.0,5574.0,8292.0,10901.0
26,SPRING ST,40.7257799,-74.00395209999998,551.0,541.0,3032.0,6200.0,6395.0,2869.0,574.0,357.0,2316.0,5024.0,4966.0,1932.0,245.0,1517.0,7323.0,7943.0,14388.0,3903.0,345.0,1634.0,7391.0,8260.0,15437.0,4896.0,397.0,1577.0,7458.0,8050.0,14688.0,4533.0,425.0,1647.0,7802.0,8602.0,15369.0,5140.0,537.0,1502.0,6926.0,10204.0,13715.0
27,LEXINGTON AV/63,40.764629,-73.96611299999998,624.0,662.0,2816.0,4283.0,4531.0,2291.0,594.0,633.0,2211.0,3601.0,3622.0,1792.0,326.0,4045.0,10328.0,6982.0,11390.0,3269.0,543.0,4089.0,10744.0,7852.0,11866.0,3593.0,496.0,4066.0,11280.0,7969.0,12415.0,3658.0,525.0,4097.0,11034.0,8055.0,12571.0,3744.0,609.0,3903.0,10348.0,8437.0,10999.0
28,NOSTRAND AV,40.6697362,-73.95050890000002,1176.0,1593.0,4955.0,6079.0,6273.0,4163.0,1224.0,1163.0,3803.0,5190.0,5203.0,3340.0,709.0,4027.0,8779.0,5918.0,9322.0,4280.0,845.0,4071.0,9250.0,6053.0,9316.0,4640.0,803.0,4121.0,9177.0,5981.0,9466.0,4828.0,915.0,4394.0,9212.0,6827.0,9570.0,4827.0,976.0,4071.0,8781.0,7204.0,9323.0
29,JAY ST-METROTEC,40.6922507,-73.9872792,1115.0,1539.0,5123.0,8294.0,8266.0,4655.0,1040.0,1081.0,4773.0,7515.0,6277.0,3148.0,638.0,3971.0,14523.0,12997.0,19449.0,4307.0,664.0,4345.0,14969.0,13042.0,19788.0,5344.0,654.0,4225.0,15244.0,13503.0,20619.0,4940.0,712.0,4214.0,15548.0,13817.0,20636.0,5455.0,837.0,3808.0,13900.0,14258.0,18176.0
30,1 AV,40.7312776,-73.9823439,1609.0,1230.0,4233.0,6998.0,7939.0,5715.0,1539.0,906.0,3236.0,6257.0,6481.0,4118.0,624.0,3761.0,8348.0,7034.0,11103.0,5279.0,754.0,3845.0,8445.0,6818.0,11728.0,6387.0,858.0,3818.0,8654.0,7367.0,11897.0,6516.0,849.0,3757.0,8623.0,7141.0,12306.0,6535.0,1029.0,3674.0,8283.0,8143.0,12315.0
31,STEINWAY ST,40.756691700000005,-73.92064090000001,679.0,980.0,3136.0,4377.0,4557.0,2831.0,669.0,637.0,2298.0,3613.0,3694.0,1990.0,382.0,2608.0,6172.0,4285.0,7196.0,3143.0,400.0,2722.0,6275.0,4469.0,7376.0,3362.0,483.0,2726.0,6575.0,4633.0,7129.0,3197.0,474.0,2767.0,6520.0,4666.0,7394.0,3382.0,539.0,2507.0,6255.0,4952.0,7196.0
32,JUNCTION BLVD,40.749203,-73.8693365,1577.0,5468.0,6932.0,6875.0,7378.0,4353.0,1515.0,2969.0,5398.0,6267.0,5841.0,3564.0,1137.0,7203.0,6649.0,6543.0,10388.0,4097.0,1195.0,7326.0,7049.0,6681.0,10765.0,4328.0,1102.0,7248.0,7311.0,6610.0,10719.0,4517.0,1144.0,7341.0,7058.0,6344.0,10118.0,4801.0,1172.0,7364.0,800891.0,6735.0,10925.0
33,DEKALB AV,40.68982020000001,-73.9811611,918.0,1890.0,5099.0,6852.0,6411.0,3611.0,798.0,1213.0,3960.0,6384.0,5654.0,2918.0,523.0,5251.0,11668.0,7028.0,10768.0,3763.0,533.0,5430.0,12279.0,7616.0,10935.0,3822.0,577.0,5451.0,12599.0,7477.0,11059.0,4087.0,568.0,3144.0,5998.0,7599.0,11034.0,4133.0,674.0,4901.0,11748.0,8267.0,10658.0
34,BOROUGH HALL,40.6931492,-73.9900883,536.0,937.0,4467.0,6950.0,6675.0,3173.0,640.0,631.0,3351.0,5821.0,5528.0,2422.0,342.0,3930.0,15108.0,12446.0,17188.0,4045.0,401.0,4035.0,15811.0,12892.0,17464.0,4465.0,383.0,4012.0,16169.0,12741.0,17648.0,4425.0,428.0,4045.0,15799.0,13402.0,17625.0,4783.0,556.0,3469.0,13732.0,13576.0,15039.0
35,CROWN HTS-UTICA,40.6689469,-73.93183379999998,1306.0,2444.0,5307.0,6488.0,6405.0,4358.0,1305.0,1706.0,3969.0,5257.0,5307.0,3448.0,929.0,7143.0,9860.0,7210.0,11093.0,4755.0,1042.0,7282.0,10010.0,7165.0,11429.0,4863.0,1138.0,7505.0,10154.0,7289.0,11311.0,4941.0,1206.0,7270.0,10139.0,7784.0,11137.0,5072.0,1391.0,6963.0,9602.0,8312.0,10771.0
36,8 ST-NYU,40.7306065,-73.99244159999998,1491.0,570.0,3323.0,6510.0,8114.0,4881.0,1548.0,458.0,2550.0,5516.0,6320.0,4111.0,554.0,1049.0,5907.0,4371.0,8801.0,3238.0,504.0,1287.0,6294.0,4848.0,9378.0,3958.0,584.0,1284.0,6500.0,5103.0,9541.0,4162.0,556.0,1181.0,6326.0,4949.0,9807.0,4292.0,669.0,1048.0,5507.0,5801.0,8868.0
37,CANAL ST,40.722713899999995,-74.00630600000001,731.0,812.0,3772.0,6537.0,6600.0,3034.0,597.0,492.0,2843.0,5218.0,5130.0,2151.0,340.0,2671.0,9115.0,6883.0,12883.0,2875.0,356.0,2781.0,9470.0,7319.0,13471.0,3447.0,380.0,2849.0,9388.0,7188.0,13413.0,3512.0,430.0,2515.0,8774.0,7438.0,13674.0,3916.0,461.0,2453.0,8401.0,8394.0,11931.0
38,QUEENSBORO PLZ,40.7505127,-73.9398439,441.0,1033.0,3329.0,3591.0,3466.0,1755.0,589.0,756.0,2567.0,2877.0,2558.0,1359.0,336.0,1905.0,4981.0,3133.0,5525.0,1674.0,349.0,1965.0,4963.0,3181.0,5492.0,1793.0,308.0,1906.0,5190.0,3426.0,5720.0,2012.0,384.0,1934.0,5105.0,3476.0,5855.0,2010.0,418.0,1806.0,4680.0,3674.0,5565.0
39,MYRTLE-WYCKOFF,40.699686,-73.9117713,1142.0,2229.0,4414.0,4955.0,4715.0,3078.0,1058.0,1276.0,3563.0,4367.0,4141.0,2734.0,731.0,4935.0,7467.0,5203.0,7564.0,3668.0,867.0,5209.0,7447.0,5096.0,7860.0,3885.0,831.0,5113.0,7469.0,5175.0,7726.0,4034.0,917.0,5104.0,7637.0,5288.0,7862.0,4209.0,1034.0,5038.0,7310.0,5619.0,7857.0
40,51 ST,40.757135,-73.97191190000001,671.0,1014.0,3434.0,4093.0,4031.0,1969.0,454.0,670.0,2652.0,3379.0,3193.0,1503.0,284.0,3125.0,12593.0,7055.0,13228.0,3217.0,574.0,3718.0,13246.0,7590.0,14026.0,3479.0,498.0,3524.0,13484.0,8526.0,14557.0,3505.0,582.0,3326.0,13424.0,7945.0,13678.0,3602.0,624.0,3119.0,11831.0,8619.0,11430.0
41,COURT SQ,40.7467885,-73.944548,1057.0,1782.0,2957.0,4380.0,5508.0,3499.0,939.0,1162.0,3033.0,4023.0,4311.0,2491.0,574.0,4018.0,9188.0,4911.0,10915.0,2453.0,428.0,4232.0,9390.0,4934.0,10848.0,2802.0,401.0,4034.0,9822.0,5018.0,11104.0,3063.0,432.0,4158.0,9880.0,5429.0,11694.0,4292.0,728.0,3730.0,8307.0,5687.0,9357.0
42,JAMAICA CENTER,40.702144700000005,-73.8008771,2027.0,3666.0,5340.0,6247.0,7128.0,4333.0,1485.0,2395.0,4096.0,4946.0,5179.0,3678.0,1238.0,13073.0,12796.0,11105.0,17209.0,6531.0,1710.0,13349.0,13120.0,11056.0,17762.0,6925.0,1639.0,13272.0,12839.0,11159.0,16958.0,7067.0,1827.0,13259.0,13237.0,11705.0,17637.0,6945.0,1983.0,12640.0,12520.0,11770.0,16388.0
43,49 ST,40.7598372,-73.98418249999999,1604.0,1378.0,5529.0,8101.0,10231.0,6496.0,1758.0,1050.0,4492.0,7167.0,8390.0,5295.0,896.0,2771.0,10695.0,7622.0,16369.0,6394.0,1172.0,3263.0,11295.0,7993.0,16183.0,7316.0,1030.0,3202.0,11275.0,8242.0,16458.0,7013.0,1099.0,3182.0,11211.0,8211.0,16209.0,7447.0,1252.0,2854.0,10213.0,9259.0,14727.0
44,BOWLING GREEN,40.7048108,-74.0144596,654.0,1115.0,4971.0,6624.0,6215.0,2491.0,518.0,669.0,3425.0,4764.0,4528.0,1712.0,367.0,5342.0,16611.0,11148.0,19624.0,3075.0,584.0,5558.0,17212.0,11470.0,19802.0,3630.0,568.0,5496.0,16427.0,11263.0,19299.0,3498.0,653.0,5517.0,16958.0,12355.0,19839.0,3942.0,672.0,4999.0,15396.0,12508.0,16246.0
45,BLEECKER ST,40.7259346,-73.9946724,522.0,199.0,734.0,1839.0,2007.0,1100.0,382.0,152.0,450.0,1179.0,1512.0,755.0,140.0,1021.0,4041.0,3216.0,6120.0,2352.0,389.0,1090.0,4491.0,3608.0,6800.0,3027.0,443.0,1069.0,4499.0,3551.0,6788.0,3032.0,405.0,1087.0,4424.0,3654.0,6858.0,3104.0,564.0,966.0,4002.0,4194.0,6239.0
46,VERNON-JACKSON,40.7426713,-73.9537248,437.0,661.0,2812.0,3740.0,4074.0,2518.0,567.0,434.0,2015.0,3403.0,3248.0,1925.0,227.0,2795.0,7511.0,3587.0,7259.0,2804.0,324.0,2930.0,7635.0,3901.0,7537.0,3026.0,295.0,2914.0,7866.0,3882.0,7666.0,3439.0,425.0,2906.0,7978.0,4185.0,7216.0,3314.0,417.0,2575.0,6999.0,4414.0,7356.0
47,28 ST,40.7470686,-73.99350919999998,797.0,834.0,3664.0,5377.0,5290.0,2846.0,850.0,556.0,2787.0,4989.0,4173.0,2248.0,380.0,1600.0,8097.0,5713.0,9882.0,2724.0,415.0,1806.0,8673.0,6607.0,11160.0,3542.0,450.0,1732.0,8514.0,6614.0,10894.0,3306.0,463.0,1756.0,8581.0,6575.0,10980.0,3154.0,573.0,1645.0,7749.0,7128.0,9195.0
48,SUTPHIN-ARCHER,40.700572799999996,-73.8077071,1471.0,2620.0,4704.0,5539.0,5660.0,3620.0,1152.0,1744.0,3472.0,4769.0,4903.0,3388.0,1055.0,7114.0,8709.0,7889.0,11173.0,4511.0,1142.0,7257.0,8513.0,8087.0,11519.0,4831.0,1262.0,7134.0,8342.0,8476.0,11431.0,4943.0,1244.0,7320.0,8788.0,8573.0,12464.0,5164.0,1357.0,7187.0,8363.0,9084.0,11922.0
49,FORDHAM RD,40.8614886,-73.8905408,888.0,2588.0,4556.0,5357.0,4866.0,2861.0,824.0,1724.0,3231.0,4359.0,3776.0,2159.0,685.0,4873.0,5777.0,5681.0,6732.0,2772.0,738.0,5036.0,5895.0,5647.0,6839.0,2695.0,841.0,5044.0,5904.0,5601.0,7062.0,2766.0,865.0,5114.0,5933.0,5801.0,7121.0,2770.0,988.0,4924.0,5876.0,5959.0,7118.0
