,StationName,Latitude,Longitude,2019-02-02 03:00:00,2019-02-02 07:00:00,2019-02-02 11:00:00,2019-02-02 15:00:00,2019-02-02 19:00:00,2019-02-02 23:00:00,2019-02-03 03:00:00,2019-02-03 07:00:00,2019-02-03 11:00:00,2019-02-03 15:00:00,2019-02-03 19:00:00,2019-02-03 23:00:00,2019-02-04 03:00:00,2019-02-04 07:00:00,2019-02-04 11:00:00,2019-02-04 15:00:00,2019-02-04 19:00:00,2019-02-04 23:00:00,2019-02-05 03:00:00,2019-02-05 07:00:00,2019-02-05 11:00:00,2019-02-05 15:00:00,2019-02-05 19:00:00,2019-02-05 23:00:00,2019-02-06 03:00:00,2019-02-06 07:00:00,2019-02-06 11:00:00,2019-02-06 15:00:00,2019-02-06 19:00:00,2019-02-06 23:00:00,2019-02-07 03:00:00,2019-02-07 07:00:00,2019-02-07 11:00:00,2019-02-07 15:00:00,2019-02-07 19:00:00,2019-02-07 23:00:00,2019-02-08 03:00:00,2019-02-08 07:00:00,2019-02-08 11:00:00,2019-02-08 15:00:00,2019-02-08 19:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,3006.0,14986.0,29629.0,39706.0,24605.0,7853.0,2351.0,10840.0,24614.0,32424.0,15272.0,3889.0,6937.0,60654.0,36782.0,80794.0,32124.0,4287.0,6956.0,61283.0,40983.0,82051.0,36568.0,4962.0,7336.0,65709.0,38988.0,84791.0,35234.0,5419.0,7302.0,64142.0,39354.0,83197.0,36944.0,5310.0,7198.0,59508.0,42310.0,85586.0,38803.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,2498.0,13402.0,27021.0,36269.0,25515.0,8894.0,1914.0,9467.0,21855.0,28212.0,14970.0,4441.0,6012.0,48447.0,26171.0,59302.0,25363.0,5214.0,6221.0,49987.0,30316.0,65414.0,26901.0,4783.0,5992.0,50725.0,30275.0,65289.0,29929.0,5315.0,6309.0,49093.0,30249.0,65207.0,32889.0,6488.0,6135.0,48445.0,30890.0,64819.0,33488.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4134.0,17486.0,28756.0,35608.0,21468.0,7524.0,2542.0,12556.0,25079.0,30501.0,13745.0,3906.0,11391.0,71733.0,31748.0,78878.0,27305.0,3927.0,11477.0,70855.0,32932.0,80898.0,32261.0,4455.0,11922.0,79620.0,33260.0,83799.0,31749.0,5690.0,11738.0,72755.0,33834.0,80616.0,31059.0,4733.0,11181.0,67991.0,36411.0,80877.0,31156.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,1693.0,10286.0,19650.0,23816.0,13357.0,5013.0,1318.0,7916.0,16555.0,19670.0,8539.0,2378.0,4061.0,35415.0,25625.0,45461.0,20846.0,3268.0,4366.0,34405.0,26734.0,46142.0,23321.0,3661.0,4364.0,37506.0,27381.0,47143.0,22456.0,3479.0,4426.0,36998.0,27120.0,46926.0,23651.0,3742.0,4104.0,33323.0,26261.0,43902.0,19862.0
4,86 ST,40.7795016,-73.95557240000001,1470.0,10245.0,19075.0,23132.0,11248.0,2828.0,1075.0,7349.0,14856.0,17201.0,7350.0,1787.0,4793.0,33749.0,1229567543.0,39004.0,15549.0,1766.0,4632.0,33861.0,21974.0,39104.0,16248.0,1825.0,5188.0,35389.0,22057.0,39748.0,15496.0,1733.0,5073.0,35622.0,21920.0,40186.0,16566.0,2091.0,5108.0,33342.0,23013.0,39953.0,16267.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,1558.0,8802.0,17104.0,19111.0,9450.0,2880.0,837.0,5867.0,12510.0,14133.0,5970.0,1979.0,6129.0,48404.0,20760.0,50332.0,17036.0,2180.0,6358.0,48924.0,22788.0,50163.0,18233.0,2324.0,6526.0,49862.0,23238.0,53291.0,19975.0,2407.0,5907.0,50019.0,23515.0,51013.0,19400.0,2636.0,5925.0,45143.0,23928.0,51631.0,18103.0
6,59 ST,40.6415685,-74.0176783,1752.0,12290.0,10212.0,20860.0,9940.0,3262.0,1530.0,8728.0,14714.0,16690.0,7568.0,2367.0,5396.0,35071.0,20147.0,39978.0,14752.0,2600.0,5141.0,26929.0,17411.0,40522.0,15860.0,2635.0,5516.0,36950.0,21755.0,42342.0,15014.0,2430.0,5567.0,37368.0,21999.0,20824.0,7671.0,2841.0,5442.0,35083.0,22900.0,41870.0,6601.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2743.0,14002.0,15672.0,18846.0,12257.0,3394.0,1747.0,10190.0,14204.0,15786.0,9776.0,2522.0,7759.0,28618.0,16600.0,29625.0,16583.0,2787.0,6620.0,24572.0,17724.0,27103.0,15413.0,2837.0,8039.0,30183.0,16254.0,30014.0,16055.0,2913.0,7533.0,30878.0,16370.0,30109.0,16498.0,2850.0,7603.0,29113.0,15833.0,30536.0,17210.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,939.0,6016.0,13743.0,16897.0,9385.0,2668.0,771.0,4529.0,11087.0,13738.0,6004.0,1543.0,2876.0,25319.0,13554.0,31155.0,18706.0,1930.0,2722.0,21995.0,11652.0,23511.0,11744.0,1684.0,2887.0,24703.0,13135.0,30970.0,17680.0,1904.0,2988.0,24748.0,13269.0,28463.0,12410.0,2036.0,2742.0,23538.0,14715.0,31872.0,18578.0
9,23 ST,40.7413626,-73.9891335,1090.0,8018.0,16343.0,20370.0,10549.0,3463.0,838.0,5125.0,12168.0,15215.0,7055.0,1597.0,2547.0,32336.0,19609.0,42361.0,19237.0,2231.0,2608.0,32327.0,22510.0,44805.0,20738.0,2361.0,2870.0,34641.0,23414.0,48338.0,22166.0,2435.0,2643.0,34618.0,23148.0,46747.0,22769.0,2833.0,2615.0,31411.0,18995.0,36201.0,16049.0
