,StationName,Latitude,Longitude,2018-06-23 00:00:00,2018-06-23 04:00:00,2018-06-23 08:00:00,2018-06-23 12:00:00,2018-06-23 16:00:00,2018-06-23 20:00:00,2018-06-24 00:00:00,2018-06-24 04:00:00,2018-06-24 08:00:00,2018-06-24 12:00:00,2018-06-24 16:00:00,2018-06-24 20:00:00,2018-06-25 00:00:00,2018-06-25 04:00:00,2018-06-25 08:00:00,2018-06-25 12:00:00,2018-06-25 16:00:00,2018-06-25 20:00:00,2018-06-26 00:00:00,2018-06-26 04:00:00,2018-06-26 08:00:00,2018-06-26 12:00:00,2018-06-26 16:00:00,2018-06-26 20:00:00,2018-06-27 00:00:00,2018-06-27 04:00:00,2018-06-27 08:00:00,2018-06-27 12:00:00,2018-06-27 16:00:00,2018-06-27 20:00:00,2018-06-28 00:00:00,2018-06-28 04:00:00,2018-06-28 08:00:00,2018-06-28 12:00:00,2018-06-28 16:00:00,2018-06-28 20:00:00,2018-06-29 00:00:00,2018-06-29 04:00:00,2018-06-29 08:00:00,2018-06-29 12:00:00,2018-06-29 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,6177.0,6148.0,22879.0,37161.0,41332.0,23746.0,5188.0,4474.0,10425.0,17405.0,43526.0,23559.0,2804.0,17660.0,58868.0,43358.0,86216.0,27165.0,3020.0,17871.0,60877.0,45874.0,88367.0,29084.0,3518.0,17647.0,61368.0,46421.0,88336.0,27866.0,2844.0,16977.0,62212.0,46316.0,87921.0,29035.0,2947.0,13590.0,56838.0,55921.0,82278.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,7641.0,5073.0,18465.0,30344.0,38386.0,28580.0,9107.0,3781.0,15644.0,28850.0,32933.0,21867.0,4521.0,14607.0,48834.0,35037.0,67520.0,27744.0,4843.0,14672.0,50438.0,36079.0,72121.0,30840.0,5262.0,14896.0,51524.0,39489.0,74380.0,29409.0,4404.0,12921.0,50593.0,36994.0,70118.0,30308.0,5646.0,12919.0,47096.0,43672.0,63953.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4426.0,5041.0,17642.0,24697.0,27231.0,15160.0,4227.0,3609.0,17184.0,28370.0,32457.0,18571.0,2310.0,20459.0,51040.0,37551.0,78517.0,21112.0,2453.0,26049.0,59809.0,38744.0,80151.0,23572.0,2641.0,25004.0,59952.0,39425.0,79487.0,21362.0,2411.0,25836.0,62973.0,39503.0,80889.0,22248.0,2703.0,22161.0,53520.0,48335.0,72726.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2893.0,3425.0,12774.0,20597.0,22108.0,12229.0,3102.0,2623.0,12292.0,21545.0,22673.0,11504.0,1632.0,9656.0,29350.0,25491.0,40135.0,14639.0,1775.0,9916.0,32058.0,27530.0,42487.0,16722.0,1962.0,9790.0,31391.0,27334.0,43037.0,15435.0,1761.0,8804.0,30135.0,26874.0,41333.0,16305.0,2258.0,8554.0,27926.0,29674.0,37615.0
4,86 ST,40.7795016,-73.95557240000001,2038.0,4169.0,13846.0,20909.0,21828.0,10115.0,1593.0,2269.0,9800.0,15627.0,14988.0,6525.0,775.0,11239.0,25678.0,21496.0,31183.0,9683.0,1194.0,11902.0,27494.0,22317.0,33466.0,11252.0,1461.0,10959.0,26508.0,21793.0,32060.0,10157.0,1112.0,9835.0,26522.0,21579.0,31399.0,10396.0,1360.0,10062.0,24880.0,23634.0,30648.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2942.0,3545.0,14458.0,20541.0,20650.0,11412.0,2416.0,2100.0,13010.0,19556.0,20520.0,9912.0,1184.0,16324.0,43448.0,25615.0,49850.0,13313.0,1816.0,16617.0,44900.0,27563.0,53076.0,15219.0,2110.0,16246.0,44945.0,28608.0,54321.0,14725.0,1858.0,16534.0,46493.0,28094.0,54377.0,14663.0,2314.0,14276.0,39806.0,32388.0,48278.0
6,59 ST,40.6415685,-74.0176783,2951.0,5454.0,15385.0,20935.0,21526.0,11098.0,2669.0,3296.0,11316.0,16992.0,16758.0,8182.0,1605.0,13209.0,31827.0,24009.0,39609.0,11299.0,1686.0,13722.0,34530.0,25788.0,41937.0,12255.0,1832.0,13043.0,33725.0,26316.0,41218.0,11985.0,1717.0,12188.0,33748.0,25330.0,40786.0,12710.0,1888.0,10060.0,27049.0,28051.0,38186.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2784.0,6466.0,15126.0,17170.0,18932.0,12526.0,2332.0,3592.0,14059.0,15713.0,16216.0,10155.0,1743.0,16718.0,24137.0,18550.0,29651.0,13606.0,1878.0,16871.0,26290.0,18990.0,29664.0,14298.0,2051.0,15955.0,24345.0,18244.0,29932.0,13723.0,1906.0,15017.0,22610.0,17299.0,27543.0,13506.0,1990.0,15386.0,23238.0,17802.0,28841.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2122.0,2368.0,8353.0,14948.0,15936.0,8871.0,2277.0,1770.0,7281.0,13591.0,13908.0,7020.0,1009.0,8674.0,19829.0,17927.0,29053.0,9036.0,1366.0,8949.0,22698.0,16118.0,30784.0,13797.0,1473.0,7813.0,19564.0,14896.0,28837.0,15245.0,1296.0,7779.0,18072.0,14740.0,26462.0,9850.0,1436.0,7158.0,18993.0,17427.0,25876.0
9,23 ST,40.7413626,-73.9891335,2909.0,2238.0,10425.0,17310.0,19320.0,10203.0,2282.0,1517.0,9202.0,22637.0,23722.0,11203.0,1300.0,8257.0,33978.0,24261.0,45538.0,13937.0,1257.0,8549.0,36829.0,25846.0,47466.0,15236.0,1365.0,8170.0,35795.0,25697.0,49733.0,15429.0,1423.0,7766.0,35712.0,26258.0,49370.0,16617.0,1617.0,7110.0,32439.0,29620.0,42620.0
